title,body,rating,review_id,sentiment_label,sentiment_score,positive_score,neutral_score,negative_score,compound_score,topic_id,review_length,is_negative,is_positive
No Security - Beware of the Vulnerabilities,"UPDATE: I decided to update my review because I think people should be aware of the VUNERABILITIES of these cameras. I would never buy another Wyze camera again. I got them for home security but my cameras were easily hacked and someone gained control of all of my cameras and account (even though I added 2 factor authentication and a difficult password). I could literally watch someone in real time adjusting the picture quality which made them useless for live viewing, they turned the cameras on and off as they pleased, messed with the sound quality, and the worst part is they were likely using them to monitor me. I turned all the indoor cameras off, I left the outdoor cameras on, because I wanted to see what else they were doing. They got more sophisticated and started replacing footage with older footage and changed the timestamp on live footage. Also, be aware it is super easy to jam someone's wi-fi also rendering these useless. They would still record to the SD card, but since the loser hacker was deleting and replacing footage at their leisure it didn't really matter that I had a SD card. If you could merely use these without wi-fi, it might be okay (because then a hacker can't access you cameras), but Wyze doesn't make that easy.The worst part is Wyze support was of no help what-so-ever. All they kept telling me to do is add two-factor authentication. Well duh, I did that and someone is still controlling my cameras. I had to throw them all away and get a wired system that someone couldn't hack. It would be nice if they had REAL support.OLD REVIEW: There are some things I like about these cameras and several things I don't like. I have 4 of them. The price is right. You don't have to pay a monthly subscription price and they will stream to a cloud which provides two weeks of free storage, and then overwrites itself. The cloud is only for the short bursts of recording when the camera senses movement. You can pay for storage of longer clips when the camera senses movement. You can adjust the sensitivity so it isn't recording every time the wind blows, but if you reduce the sensitivity too much it won't turn on when a car is right in front of your home. You can also purchase an SD card for additional storage and the ability to review the entire footage, if needed. They are good quality for detail on footage less than 25 feet away, so perfect for someone coming up to your front/back door. They also have mic and a speaker so you can use them to talk with someone on the porch.There are some things I don't like. The camera lenses aren't good enough to identify a license plate or detailed facial features 30-50 feet away. They aren't weatherproof. Although I do have one outside under my eave that is somewhat protected from the elements and it has been okay so far. The night vision could be better. The camera outside has slightly better night vision, but it would still be difficult to make out detail of a persons facial features. If you have the night vision on behind glass you get a reflection. Also, I notice when it is recording movement sometimes the cameras freeze up, which is frustrating if there is critical footage you are trying to watch/review. When rewinding the SD card footage, it can be difficult to get to the exact time frame you are looking for, because the timeline to review footage is touchy and skips around or buffers and then goes back to the end of the footage. I wish they could come up with software that could take you to the exact time you are seeking. Also, every time they have updates, there are several issues and bugs. I wish they would thoroughly test the firmware and software updates before release. I am not going to update my cameras anymore if I have a stable version of the firmware and app because the new updates are riddled with problems. Their support team are of no help. They run you through all sorts of useless steps that don't help because it is really a firmware issue. Also, I wish they would build a feature into the app that you can easily go back to an older firmware version, if the update is buggy/has issues (which seems to be the case most of the time).Additionally, something to take note of is that an SD card can only be rewritten so many times before the media becomes too thin and it starts having errors. Mine lasted about 4 months, now I can't rewind footage, it just keeps skipping back to the end every time I try to review a specific time frame. Also, I wish they had a web based app because it can be difficult to review everything on your phone. You can save MP4s and email them, which is useful if you need to turn footage over to the police. The footage tends to be more clear on a computer screen than a phone screen.Overall, for the price, I feel these are okay cameras and they have helped me when I had to turn footage of a crime over to police. It's why I purchased 4 and have recommended the cameras to several others who have also purchased them. I wish WYZE could get their act together when it comes to thoroughly testing and vetting new firmware and software before release and making it more simple to go back to an older version, if there are bugs with the new versions.",1,0,negative,0.8572611212730408,0.009103775024414062,0.13363508880138397,0.8572611212730408,-0.8482,3,5205,1,0
**DO NOT Buy a Wyze Cam - Here’s Why**,"**DO NOT Buy a Wyze Cam - Here’s Why**We have a total of 6 Wyze Cam V2 cameras purchased with a 4 year warranty, when purchased they offered free cloud events recording, 12 second events, 1 every 5 minutes. Now, the cameras are absolutely and completely useless without cloud, since you can’t fast forward through the timeline on your local MicroSD card recordings, so unless you KNOW the exact time an event occurred, forget finding it randomly, or accidentally coming across the event you are looking to locate.You cannot USE a Mac or PC to review the recordings unless you SWAP the Micro SD card out (which are a pain in the neck to unmount) and install a new Micro SD card, for 6 cameras you would have to spend hours daily, swapping Micro SD cards, downloading & reviewing Micro SD card video footage on a real computer screen.If; I pay for ‘Cam Plus’ Cloud Services it would cost (for a total of 6 cameras) $90.oo µ$ per year (billed annually) @ 1.25 per month (in order to make it sound like a small amount of cost.)If you simply buy a complete system. Example: $400 with a DVR or NVR recording device, you can get the alerts to your mobile device(s) absolutely free of charge indefinitely. Your video is 100% reviewable on a PC or Mac, Desktop, Laptop, Android, iPad, iPhone, etc. And in many cases, they have “popup screenshots” as you scan the timeline of your video with your mouse, so you can see exactly what is in the video without even watching the video first. Much faster and far more efficient than the Wyze Cam force you to buy/pay monthly (billed annually) Cam Plus cloud services.In 4 years of spending money with the Wyze Cam for Cam Plus, you could invest in a serious security system with DVR or NVR. Into your 5th year of Wyze you would be spending another $90.oo µ$ for Cam Plus cloud services.All of my cameras now say ‘Unknown Device’ when I attempt to access the events in the cloud. Meaning, I cannot access the 12 second events in the cloud free of charge anymore. When I purchased the cameras cloud was free indefinitely. With the limitation 12 second events, 1 every 5 minutes. Give me back what I originally purchased.I am completely dissatisfied with the purchase of these Wyze Cam’s some more than 4 years ago, some newer. If I had known all 6 of these cameras would be rendered completely useless by this new Wyze Cam Policy, I would never have purchased 6 Wyze Cam’s in the first place. IN fact I would never have purchased any Wyze Cam products at all. There is NO OTHER option except to pay for service I do not want in order to be able to properly monitor the 6 cameras. There is NO OPTION TO RECORD THE EVENTS TO MY OWN Micro SD card internally. WHY NOT? Other cameras offer this option.Wyze WILL NEVER make it possible for you (the end user) to CHOOSE to record events to YOUR OWN internal Micro SD card because that would render their cloud (Cam Plus), and thus their monthly revenue stream null and void. Why pay for something you can record and review yourself. That has always been the plan. Let me record my OWN events to the internal Micro SD card. End of story.I read 1 commenter: if you don't like it, then don't buy a Wyze Cam. This is counter productive and completely negative and serves no purpose.Well, that is a moot point at this stage. I already own 6 Wyze Cams (with extended 4 year warranty) and have for many years now. Besides, it is not the cameras I am dissatisfied with, it is the Wyze policy of money first, customer requested features & customer service second. Forcing potential customers to buy/purchase/pay for a service they do not want, is a business model which is destined to failure. Especially in light of the fact that other cameras offer the EXACT features discussed. Furthermore, it is completely absurd to treat the public as if they are idiots who will fall for such dishonest business practices & tactics. Mark my words this will come back to haunt you eventually once word gets out, and it eventually WILL get out.You apparently did not learn anything working at Amazon, the customer ALWAYS comes first, they are the ones who provide profit. Any other consideration is secondary. If it is not, your business model is guaranteed to fail.If you bought a Wyze Cam I recommend you SEND IT BACK as quickly as possible.Wyze Cam thinks people don't join this forum until AFTER they buy a Wyze Cam. This will be posted at other locations for this very reason. So we can catch the potential buyer BEFORE they make the mistake and waste their money. When you buy a Wyze Cam, it is conveniently hidden that cloud is a monthly cost and how much.I bought a Lorex Security Camera Package - Metal casings, Outdoor Cameras, Free monitoring/Alerts with an optional paid plan if you choose.Thank you,I may edit this as time permits",1,1,negative,0.702454686164856,0.018729161471128464,0.2788161635398865,0.702454686164856,-0.6837,5,4797,1,0
Undependable and constant hassle!,"UPDATE: I waited for the second generation of these cameras, and tried them again. Initially it seemed like a home run! BUT.... when a micro SD card was installed in any of the 4 cameras I purchased, it would record until the card was full, and even though the setting were for it to erase/continue to record, ALL of the cameras with cards installed stopped recording, and rendered the micro SD cards unusable....that right....COMPLETELY UNUSABLE IN ANY DEVICE. In other words these cameras EAT MICRO SD CARDS. I tried different brands and capacities, including those branded as Wyze cards.....same result. So once again, I try to seek/get support from the company, and just like before, got no help or response to anything until I went on the public forum and started complaining about this issue. It wasn't until a large number of other customers joined in the thread and stated they were having the same problems. This dragged on for nearly a year, with Wyze doing everything to pin the blame on owners/users. Wyze even asked me to return ALL the cameras I had purchased...and when I asked for replacements, they told me that they would return my cameras when they were done investigating them.... and just how long will that take? They didn't know, and would not send replacements while they studied mine..... wow....what a screw job! After more and more people came forward on the forums, Wyze contacted me via email, and said that they were going to refund my money for all the cameras I owned, provided I would no longer say anything on the forums. In other words... ""hush money"". I agreed, and now here it is more then TWO YEARS later, and that thread is still very active on the Wyze forums..... and Wyze has never found or fixed the problem..... but they've had plenty of time create new products. OK, all that being said, the WyzeCam is a decent product, but it IS NOT AS ADVERTISED! It's great if you just want LIVE surveillance coverage ONLY, but it's useless if you wish to install and use recording media (micro SD card). Also, don't believe their ""2 week cloud storage""..... because you can't get to, no matter how hard you try.I purchase two of these cameras directly from Wyze Labs, and for the price, expected SOME shortcomings..... what I got was products that are totally unreliable, requiring constant resets/re-connection to get any use at all out of them. Both cameras would constantly fail to connect to ANY device, making them useless to me. After 2 weeks of hassles, I tried to contact support, and waited..... nothing! So I went to the forum on their website and at first, attempted to get some help there. Based on many forum posts, these devices were obviously rushed to market, without enough testing of either hardware or software. People spoke of interference from any number of other devices, and one individual basically had to shut down ALL other electronics in his home to get a reliable connection! It was not until I openly started complaining on the forums, that Wyze finally responded to the support request I had submitted. They then wanted to play the twenty questions game......even though I had explained my level of electronics knowledge, and all the circumstances/steps involved in the initial support request. At that point it had been nearly a month since receiving the cameras, and submitting the support request. I finally told support that I was not interested in playing games, and to their credit, the issued me a refund. I really wanted to like these devices, but it was very obvious that they simply were rushed to market without enough testing of both hardware and software. Because they issued me a refund, I am open to trying the next generation of these devices, but will demand that they work as advertised. Some may say that it's only a $25 camera, so don't expect too much....but that is no excuse for a device that simply does not work as advertised.",1,2,negative,0.5712934732437134,0.09086912125349045,0.3378373682498932,0.5712934732437134,-0.4804,3,3914,1,0
Don't expect product support.  [Wyze Ticket 834534],"This is what you get with WYZE. Cams worked for a few months. I went from ecstatic to disgust.Written May 5, 2020I think the product is tremendous as far as value. It has a CO2 detector and smoke alarm. It has excellent night vision. The pictures are a very clear 1080P. It has a magnet in the base for easy mounting. It has two way audio. It is an indoor camera, but I have it mounted outdoors in a safe place using the magnet for easy mounting.I don't like that there is no windows app. I had to load an android emulator. First I tried Bluestacks and that failed to work at all. The latest version just was bad, and came up with a black screen, and it hung. Then I tried NoxPlayer, and that one worked, but sometimes the WYZE app appears upside down. NoxPlayer works but can be flaky at times. The point is, though I had a bit of a hassle getting it to work on my PC, but I did it, and it does work.It has motion detection and can record video or photos directly to a micro SD card on the camera itself. You can also use free cloud storage from WYZE to access the videoq or images from the internet if you so choose. You don't have to use the cloud at all. It can trigger on an event and has a person detection feature, and can notify you when it sees a person. It tracks motion as well putting a green rectangle around the person that is moving. It cna notify you when this type of event occurs.Overall, when you consider the low cost and huge capability, the hassles to get it working on a PC are worth it. If you are only going to use it from a smart phone, android or I-phone, you will not have a problem. And it integrates with Amazon Alexa if you have an echo show. So why wait? For this low cost everybody can afford a security camera.May 21, 2020I received my second camera. It is installed in my garage for CO2 and smoke detection as well as protecting my belongings in the garage.June 13, 2020Just ordered my third camera. I will use this one to watch my cars in the driveway and the street and neighborhood beyond. These cameras are top notch quality and I really feel much more secure having them and knowing what is happening to my property 24/7. I also bought two outdoor covers, one for the first camera on my patio and the other for my 3rd camera. This is so easy and so inexpensive, and it gives me peace of mind. These little cameras are fantastic!Sept 28, 2020Wyze does not respond to requests for product support at all. Zero, nada, zilch nothing. They don't care. They give a low price and that is the end of the conversation. I am a product backer of their new outdoor cam, and they would not give me the time of day when I had questions about it. In fact WYZE has never answered a single query I have made. They have the worst product support of any company I have ever dealt with.Oct 22, 2020Now I cannot get their WYZE Cam's to connect at all. I tried to reconnect a cam to the wifi and it no longer reconnects. Their support is dead silent. I am trying every day to get some kind of support from them. They offer no email, phone, or any other response other than a stupid robot page that tries to walk you through troubleshooting steps. I know how to setup their cameras, it just stopped working. I suspect it had to do with recent firmware upgrades. They are getting worse.Nov 16, 2020I actually was able to work with support. The cams still don't work. I downloaded an old firmware version from July and reverted on of the Cams to that version. This did not help. Support then had me run a program which sends diagnostic info to a server. You then send them the security key to unlock the diagnostic file. This was done on Nov 5th, and it's been 11 days since I have done that. So it looks like the dropped the ball.This is what you get with WYZE.",1,3,positive,0.7972107529640198,0.7972107529640198,0.14747871458530426,0.05531049892306328,0.7419,7,3777,0,1
WYZE PRODUCTS NOT SECURE!  SPYBOTS from CHINA,"The concept of inexpensive smart home products is great. Wyze has offerings now for outdoor cameras, robot vacuums, smart outlets, smart light bulbs, a smart hub, video doorbells, and more to come (smart controlled sprinkler system). The cameras themselves are cheaply made as to be expected from such inexpensive cameras, but the video quality is very good for the price paid. The problem I have is with the controlling app and the fact that all information gathered as well as videos goes back to servers in mainland China. There is no way to get around this and still access the cameras remotely. There are many other reviewers who expressed this concern before me. I did not do my research properly and now have cameras that I have to be careful in their use or sell to someone not concerned about privacy and security.I first became aware of the security problem when I installed the Wyze app on my android phone and attempted to sync it with the Wyzecam v2 camera. The app would sync and the camera showed it was connected to the internet but I could not get the real time video stream on my phone even when my phone was connected to the same wifi network as the camera. I tried everything that the troubleshooting guides asked like ensuring that mac filtering was turned off on the router (the requirement that mac filtering be off on the router was an important clue about how the Wyzecam app will force access to the internet and remote servers), restarting the camera, restarting the Wyzecam app on the phone, uninstalling and reinstalling the camera on the phone, uninstalling and reinstalling the Wyzecam app on the phone, reformatting the camera and reinstalling the latest firmware, rebooting the router and modem, and every other trick I found on the internet to get it to work. I only had success when I turned off the VPN on the phone. I immediately was able to access the video stream from the camera. I repeated this several times to verify that, when the phone was run through a VPN, I could not get my phone to sync to the camera to get video, audio, or event notifications. I tried a couple of VPN services and got the same results. I could only access the cameras using an insecure connection.There is about a 3 second delay from when the actual event occurs to when it shows up on the phone even when the camera and phone are co-located in the same room connected to the same wifi network and within 3 meters of the wireless router. This means that the video stream is going from the camera to the remote Wyze server (located in mainland China - PRC and/or Japan I later found out) and back to my cell phone. Even with a microSD card installed in the camera, the video stream still goes through the servers in mainland China and back to your phone.Other people have decided try another firmware (Dafang) that you have to flash to the camera then send the camera output to a DVR and use some other software to view. All this is possible but, at what point is it just easier to purchase reasonably priced POE cameras and connect them to a storage drive on a laptop/server/NAS and run something like Blue Iris software and get the images and remote viewing you want along with notifications and with real security?In conclusion, the Wyze smart home systems are really neat in concept and they do have attractive devices which will work for people who just want to use the product, not learn to program or code. The cost is giving up all expectations of privacy or security. Personally, I believe there are inexpensive cameras available which take a little more to set up but have the privacy and security I need.",1,4,positive,0.8680010437965393,0.8680010437965393,0.1261482536792755,0.005850701127201319,0.8622,7,3633,0,1
Very Buggy with Numerous Firmware and Software Issues,"NOPE, JUST NOPE! These cameras are not secure and are easily compromised. Mine were hacked and someone else was controlling them and using them to monitor me. After doing some digging I found out it isn't very difficult to do this, even if you have 2-factor authentication on. I couldn't get help from Wyze and was past the return period. I DO NOT RECOMMEND THESE CAMERAS.Previous Review: There are some things I like about these cameras. I have 4 of them. The price is right. You don't have to pay a monthly subscription price and they will stream to a cloud which provides two weeks of free storage, and then overwrites itself. The cloud is only for the short bursts of recording when the camera senses movement. You can also pay for storage of longer clips when the camera senses movement. You can adjust the sensitivity so it isn't recording every time the wind blows, but if you reduce the sensitivity too much it won't turn on when a car is right in front of your home. You can also purchase an SD card for additional storage and the ability to review the entire footage, if needed. They are good quality for detail on footage less than 25 feet away, so perfect for someone coming up to your front/back door. They also have mic and a speaker so you can use them to talk with someone on the porch.There are some things I don't like. The camera lenses aren't good enough to identify a license plate or detailed facial features 30-50 feet away. They aren't weatherproof. Although I do have one outside under my eave that is somewhat protected from the elements and it has been okay so far. The night vision could be better. The camera outside has slightly better night vision, but it would still be difficult to make out detail of a persons facial features. If you have the night vision on behind glass you get a reflection. Also, I notice when it is recording movement sometimes the cameras freeze up, which is frustrating if there is critical footage you are trying to watch/review. When rewinding the SD card footage, it can be difficult to get to the exact time frame you are looking for, because the timeline to review footage is touchy and skips around or buffers and then goes back to the end of the footage. I wish they could come up with software that could take you to the exact time you are seeking. Also, every time they have updates, there are several issues and bugs. I wish they would thoroughly test the firmware and software updates before release. I am not going to update my cameras anymore if I have a stable version of the firmware and app because the new updates are riddled with problems. Their support team are of no help. They run you through all sorts of useless steps that don't help because it is really a firmware issue. Also, I wish they would build a feature into the app that you can easily go back to an older firmware version, if the update is buggy/has issues (which seems to be the case most of the time).I also question how vulnerable these are to hacking. My cameras just shut off on their own and I have also had clips of footage completely missing even though I never turned off the camera.Overall, for the price, I feel these are okay cameras and they have helped me when I had to turn footage of a crime over to police. It's why I purchased 4 and have recommended the cameras to several others who have also purchased them. I wish WYZE could get their act together when it comes to thoroughly testing and vetting new firmware and software before release and making it more simple to go back to an older version, if there are bugs with the new versions.",1,5,negative,0.6773338913917542,0.06814765185117722,0.2545185089111328,0.6773338913917542,-0.6092,3,3597,1,0
"Although, a great, compact, camera...  The new updates are super intrusive.","When this company started out, there was this big claim of privacy, affordable product, etc. All while, in a , Kickstarter, type or development.They definitely delivered on the feature rich product at a great price back then.Now though, still a feature rich product, you are bombarded by ads and always asked to share.This worked out great for a non-profit, military vets, that where going through hospice, that has a free room, food, but we had to do some., remote monitoring because of staffing. All at the beginning.. Fast forward to was this company demands today..Now, the app put out by this company, constantly asks to share this with them, and when you say ,no, you are directed to by the cam plus subscription.What happens if a worker mistakenly says yes? So, Wyze now has access to our vets in thier beds, coming out of the bath after showering? Where the hell is this info going to? Okay, they, either hate, or , do not care, about, something like this..Ohh... Microsoft, Apple, etc.... They collect collect everything, just like this app from Wyze, pushes, every single time, you use it. It is a sales cry to be bought out.They NEED bought out by one of these companies.Okay, not too bad, in itself. But. Okay, yeah, this is real bad.There is not one single way to turn these, telemetry gathering questions, off. I mean , just turn them off.I think the real people behind this project should be commended on what they have brought to market.At the same time, every new firmware and it's software update has brought more and more ads , questions, ...This is now a company looking for a buyout from a big player, (they can NOW show how much info they can grab). There is no way to refute this, the ads and questions pop up every single time you watch any stream in their app.I really wish they would have kept true to the original message they put out... (But, hate to say, this company , has never lived or been to America)Wyze , now needs to be looked at as a , ""Mid-Eastern"", company, and as such, should not be trusted, by anyone. (Mid Eastern = China/Russia)I know, the , use case I have is really different than anyone else would use.But from we when invested, to now...There is no way we could ever, in good conscience, recommend this product or company. We have not one idea where to go from this point on.This company, hounds you for info ever step of the way. But, prices, are really good.Or, just go to, China, spec something out for all the Vet Clinics to ues, and , get rid of the middle man, like , Wyze, (Google, Ring, Alexa)..get something, we can , handle...We can not handle, this type of, software/hardware companies where I work.. We just do not have the , resources, the young people, that could help us.. We are presented, by thesez fake companies, that sell everything for, pennies on the dollar, to the governments that really hate the USANever listen to online sources like PCgamer or cnet to deliver any truths. They are considered, a, comic press. Paid reviews, for paid content. They will never let you respond to ANY content posted on any of these sites. They block every single way to respond..Find your own, listen and learn, and the NEW Wyze, can never be trusted",1,6,positive,0.7916106581687927,0.7916106581687927,0.18616601824760437,0.022223321720957756,0.7694,7,3205,0,1
"Seems to work ok, a good deal for the price","TLDR: Take a pass on this. It's a nice toy but the app is horrible, making this completely worthless as a security device.2/8/19:See below for my initial thoughts a few days after getting the cam. I'm updating and downgrading because the app stinks. It is completely unreliable. If you want a fun toy, get one of these. The video quality (tho not the audio) is decent. The IR is kinda cool for night vision. BUT the cam is absolutely, completely worthless for real security. Think about it - what is the single most important need for security devices? They MUST be 100% reliable 100% of the time. The Wyze app is anything but. Most significantly, the settings change randomly at random intervals. So I can set it to record and notify me of events, but that means nothing, because the settings will be changed once I leave that page. Now, for the last three days, I have received no notifications for any events at all. I have contacted Wyze support about this and have heard nothing back.1/7/19Just got and installed this a couple of days ago. Here are my initial thoughts:1) Setup is easy.2) HD quality video is pretty good (altho I'm not sure you could recognize someone who is 10 feet or more away from the camera, if you didn't know them).3) Sound quality is not great, at least at a distance - in video of people talking away from the camera I find it very hard to make out what they are saying.4) Motion and sound detection is very sensitive - too sensitive. I finally disabled the sound detection as it was picking up way too many false positives even with the sensitivity cranked down to 10% (whatever that means). At 50% motion sensitivity was picking up dust mites floating in near the lens. At 40% the false motion was reduced but not 0. Testing 30% now.5) Be aware that you cannot access your videos from a web browser. This seems like a HUGE oversight - a phone screen just isn't big enough to see much detail given the wide field of view for this camera.6) The phone app pretty intuitive and easy to learn all the settings.7) The 12 second limit for the clips that get stored in the cloud is pretty short. I'd like to see them increase this a bit and make it customizable. Of course they are giving cloud storage for free so I'm sure they have some limits there.8) The infrared is impressively good - no problem seeing in complete darkness.9) The auto mode (for switching between light vision and regular vision) works very well. There is a big of a lag switching out of infrared when the lights come on but the switch to IR when the lights go off is fast and effective.10) Given how short the cloud storage clips are, and given that you can only view them from your phone, having and SD card to record locally is pretty much required. I haven't tried to look at this yet from my PC but I assume it's in an open format so that is possible; if not shame on Wyze!11) I believe I have observed a bug ... you can turn the cam off from the app, but when I turn it back on, it turns itself off again. I have to turn it on a second time to get it to stay on. Not a huge deal but kind of annoying ... if you didn't notice this you could think the cam is running when it's not. I will need to remember to always verify it's on when I do this.Over all for the price this is a decent device - nothing amazing, but does the job at minimal cost.",1,7,negative,0.9099454879760742,0.012848243117332458,0.07720638811588287,0.9099454879760742,-0.8971,5,3347,1,0
"Unstable platform, poor sound, poor picture makes this item hard to stand behind...","Cannot recommend.With all the listed specifications on paper, this seemed like a great buy on Black Friday as a $5.00 ""add-on."" It was a good chance to test newer technology without breaking the bank. Nowadays, there are so many different security products out there on the market, and so little opportunity to see them in actual use, that reviewing performance aspects of these things can get expensive.Unfortunately, I'm having a difficult time with this unit, and I'm not impressed. I'm not the most well-versed person in security camera technology. But I have installed a security system or 8 in my time. Not all of them were easy as some of them required fishing wires through internal/external walls (the earliest forms of security camera installations had no wireless aspects), but all of them worked in (in real time) the end. This one... not really.This unit works wirelessly. As such there are wireless limitations. Make sure that you have wireless coverage in the place you want this unit so it can work. Since it can be moved around, it is not difficult to test the actual capabilities of this unit (place near wireless router). Unfortunately, this unit has not overcome any wireless limitations, and continues to fail in nearly all aspects. There are still heavy ""lag"" times or delays when an actual incident is occurring and when you are actually able to view it. As such, audio aspects of this unit are also quite crippled (ever talk to someone with a 5 second lag? It will drive you NUTS). Furthermore, the low-light aspect of this unit is nearly non-existent or at the most, at the most minimum of standards. 5 feet away from baby's crib, and everything is hazy, blurry at best. Audio is static filled and unclear. No one at the other end can tell what I am trying to say through its tinny speakers. I can't tell what anyone is trying to say through its insignificant microphone. Is it my fiberoptic based wifi network being overloaded? Maybe? But doubtful. Why didn't I place it 2 feet away from baby's crib for low light? Because this item still needs a plug to power it and baby can reach most things at around 2 feet away. For those of you without babies, parents generally try to keep cords, strings (even with balloons on them) and strangley things away from baby at night... you know, so they don't strangle themselves... But don't think you can't do it (get some Gaffer's Tape - I was just too lazy). Also, if you were not using it for baby, but still using it for the dark, just remember that this unit's own, insignificant ""IR"" lights won't illuminate anything clearly over 5 feet away.-5 stars for coming in substandard on every level so far.+1 star for being able to connect with Alexa! Yay! Although it's own app will keep asking you to re-input the password to access the video each time you open it on your tablet or other such device... which kind of hurts.All in all, if it worked, it would be a pretty cool device. It is a bit and clunky (significantly smaller than a RING camera - but then again, the RING cameras actually work to some degree).The technology seems to need a bit more development, so I cannot recommend this item at this time. Maybe when the technology advances to its next generation, but not now.Thanks for reading my review! I hope this helps.",1,8,positive,0.784773588180542,0.784773588180542,0.16389530897140503,0.05133116990327835,0.7334,1,3298,0,1
Latest firmware upgrade is a failure.,"Update (3/27/21) since last review:The latest firmware (4.9.6.241) has really made my cam V2 pretty useless. At first I thought it was just with the sound detection, but now it is obvious it is alwo with motion detection, and especially with the AI (in Wyze that stands for Anti-Intelligence) detection, which is something you have to pay a monthly fee (Cam Plus) to have.To back up my claim, here are statistics over the last couple of days and I'm only including day light hours, so lighting is not an issue:Date Motion Events AI Vehicle AI Person # of AI notifications received3/25 20 (all vehicle) 1 N/A 03/26 20 (1 was person) 3 1 03/27 4 so far (all vehicle) 1 N/A 0One missed motion alert today (3/27) was the USPS mail vehicle delivering mail. I personally watched the vehicle and yet the Wyze (false advertising) Cam V2 did not detect, let alone the Anti-Intelligence properly process it. Maybe this is due to their AI being processed in China, so maybe they are required to block US government vehicles and people, which USPS would fall under. But wait, it actually detected the USPS vehicle back on 3/24 and it has no problems picking up FedEx and UPS, which I know are not US government vehicles. I do have to admit that I had the same issue with a Ring doorbell. Even had Amazon deliveries completely missed which required the delivery person to walk right up to the door. Do a Google search about motion detection cameras not picking up deliveries (USPS, Amazon, FedEx, UPS) and there are a lot of articles.Being able to be notified of mail and other deliveries is one of the main reasons that I moved the camera from within the garage when I ended up returning the Ring doorbell for failure to do such. Lately we have had mail delivery issues and I was hoping this would allow me to know if the mail was actually delivered and hopefully not stolen. But once again a company is only interested in getting your money, but not actually delivering anything for it. Is there a company left in the world that actually provides a good product or service?Wyze released an update to the App on Mar 22nd, which I just updated to today. It has made no difference, but basically they just added support for what I can only imagine are more worthless products.I've submitted two ""logs"" for the issues I've encountered after the firmware upgrade and nothing but silence. Like a moron I purchased the yearly subscription to ""Cam Plus"" as it came out to just over $1/month. I definitely will not be renewing the subscription when this runs out as it's not even worth the dollar. I personally believe these products should be listed under toys.Older reviews:I've been using since Nov 2020 with no real issues. But now with latest firmware upgrade 4.9.6.241 has made the device useless for my needs as no longer able to control which notifications I receive. I don't want sound event notifications and have them disabled. But after upgrading a couple days ago and having thunderstorms today I am getting notifications with every clap of thunder. Camera is in garage so not motion event.Good thing these are cheap so I can just throw it away.",1,9,negative,0.5717141032218933,0.04199599474668503,0.38628992438316345,0.5717141032218933,-0.5297,5,3138,1,0
